shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40520003,42.417129,-71.076831,110022,
40520003,42.417641,-71.076835,110023,
40520003,42.417822,-71.076835,110024,
40520003,42.418976,-71.076807,110025,
40520003,42.419499,-71.076744,110026,
40520003,42.420264,-71.076624,110027,
40520003,42.420656,-71.076547,110028,
40520003,42.421633,-71.076285,110029,
40520003,42.421711,-71.076258,110030,
40520003,42.422051,-71.076139,110031,
40520003,42.422460,-71.075987,110032,
40520003,42.423310,-71.075647,110033,
40520003,42.424474,-71.075168,110034,
40520003,42.425946,-71.074571,110035,
40520003,42.425997,-71.074550,110036,
40520003,42.426572,-71.074314,110037,
40520003,42.426713,-71.074257,110038,
40520003,42.426713,-71.074257,120001,
40520003,42.427275,-71.074027,120002,
40520003,42.427410,-71.073974,120003,
40520003,42.427858,-71.073801,120004,
40520003,42.428226,-71.073647,120005,
40520003,42.428529,-71.073511,120006,
40520003,42.429877,-71.072970,120007,
40520003,42.431566,-71.072312,120008,
40520003,42.431941,-71.072164,120009,
40520003,42.432017,-71.072134,120010,
40520003,42.432094,-71.072104,120011,
40520003,42.433000,-71.071732,120012,
40520003,42.433538,-71.071536,120013,
40520003,42.433925,-71.071425,120014,
40520003,42.434283,-71.071349,120015,
40520003,42.435239,-71.071164,120016,
40520003,42.435330,-71.071151,120017,
40520003,42.435418,-71.071138,120018,
40520003,42.435525,-71.071118,120019,
40520003,42.435658,-71.071095,120020,
40520003,42.436397,-71.070961,120021,
40520003,42.436967,-71.070867,120022,
40520004,42.347403,-71.075785,10001,
40520004,42.347458,-71.075585,10002,
40520004,42.347519,-71.075110,10003,
40520004,42.347560,-71.074718,10004,
40520004,42.347569,-71.074335,10005,
40520004,42.347579,-71.073841,10006,
40520004,42.347593,-71.073569,10007,
40520004,42.347588,-71.072294,10008,
40520004,42.347596,-71.071599,10009,
40520004,42.347583,-71.070204,10010,
40520004,42.347565,-71.068987,10011,
40520004,42.347546,-71.068647,10012,
40520004,42.347465,-71.067868,10013,
40520004,42.347464,-71.067673,10014,
40520004,42.347481,-71.067527,10015,
40520004,42.347542,-71.067344,10016,
40520004,42.348989,-71.064201,10017,
40520004,42.349072,-71.064112,10018,
40520004,42.349524,-71.063995,10019,
40520004,42.349524,-71.063995,20001,
40520004,42.349826,-71.063918,20002,
40520004,42.350443,-71.063318,20003,
40520004,42.350737,-71.062986,20004,
40520004,42.350838,-71.062918,20005,
40520004,42.350966,-71.062858,20006,
40520004,42.351596,-71.062699,20007,
40520004,42.352431,-71.062528,20008,
40520004,42.352536,-71.062512,20009,
40520004,42.352536,-71.062512,30001,
40520004,42.352830,-71.062467,30002,
40520004,42.353068,-71.062446,30003,
40520004,42.353281,-71.062439,30004,
40520004,42.353504,-71.062363,30005,
40520004,42.353618,-71.062304,30006,
40520004,42.353888,-71.062045,30007,
40520004,42.354067,-71.061850,30008,
40520004,42.354920,-71.061027,30009,
40520004,42.355291,-71.060598,30010,
40520004,42.355565,-71.060333,30011,
40520004,42.355576,-71.060321,30012,
40520004,42.355576,-71.060321,40001,
40520004,42.355996,-71.059847,40002,
40520004,42.356503,-71.059266,40003,
40520004,42.356942,-71.058665,40004,
40520004,42.357914,-71.057795,40005,
40520004,42.358026,-71.057719,40006,
40520004,42.358110,-71.057709,40007,
40520004,42.358872,-71.057710,40008,
