season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 15:47,South Station,1.0,116,0,116,15604
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:25,Newmarket,2.0,8,5,169,15605
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 15:55,Newmarket,2.0,14,2,128,15606
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:27,Uphams Corner,3.0,5,11,163,15607
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 15:57,Uphams Corner,3.0,11,12,127,15608
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:30,Four Corners/Geneva,4.0,9,30,142,15609
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:00,Four Corners/Geneva,4.0,1,16,112,15610
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:33,Talbot Avenue,5.0,2,27,117,15611
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:03,Talbot Avenue,5.0,2,24,90,15612
Fall 2024,CR-Fairmount,Fairmount Line,956,1,day_type_01,weekday,1/1/2024 19:30,South Station,9.0,0,8,0,15613
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:36,Morton Street,6.0,8,29,96,15614
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:06,Morton Street,6.0,2,15,77,15615
Fall 2024,CR-Fairmount,Fairmount Line,957,0,day_type_01,weekday,1/1/2024 18:47,South Station,1.0,62,0,62,15616
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:38,Blue Hill Avenue,7.0,9,25,80,15617
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:08,Blue Hill Avenue,7.0,10,31,56,15618
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:11,Fairmount,8.0,0,23,33,15619
Fall 2024,CR-Fairmount,Fairmount Line,945,0,day_type_01,weekday,1/1/2024 16:17,Readville,9.0,0,33,0,15620
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:30,Readville,1.0,15,0,15,15621
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:33,Fairmount,2.0,10,0,25,15622
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:36,Blue Hill Avenue,3.0,15,6,34,15623
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:38,Morton Street,4.0,6,12,28,15624
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:41,Talbot Avenue,5.0,7,1,34,15625
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:44,Four Corners/Geneva,6.0,6,7,33,15626
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:47,Uphams Corner,7.0,0,7,26,15627
Fall 2024,CR-Fairmount,Fairmount Line,946,1,day_type_01,weekday,1/1/2024 16:49,Newmarket,8.0,0,9,17,15628
