from_stop_id,to_stop_id,transfer_type,min_transfer_time
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A5818,A5818,4,0
A1210,A1210,4,0
A1210,A1210,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A144,A144,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5952,A5952,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
A5959,A5959,4,0
