stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
A3927,6459,Cummins Hwy @ Hyde Park Ave,,42.279886,-71.118724,LocalBus,https://www.mbta.com/stops/6459,0,,1
A3928,6460,Cummins Hwy @ Rowe St,,42.280681,-71.120534,LocalBus,https://www.mbta.com/stops/6460,0,,1
A3929,6461,Cummins Hwy @ Brown Ave,,42.282001,-71.122577,LocalBus,https://www.mbta.com/stops/6461,0,,1
A6374,64618,960 Washington St opp Carmichael Cir,,42.230300,-71.185441,LocalBus,https://www.mbta.com/stops/64618,0,,1
A3930,6462,Cummins Hwy @ Sherwood St,,42.282871,-71.123861,LocalBus,https://www.mbta.com/stops/6462,0,,1
A3931,6463,Cummins Hwy @ Sycamore St,,42.284441,-71.125001,LocalBus,https://www.mbta.com/stops/6463,0,,1
A3932,6464,Cummins Hwy @ Florence St,,42.285141,-71.125969,LocalBus,https://www.mbta.com/stops/6464,0,,1
A3933,6466,Hyde Park Ave @ Clay St,,42.257990,-71.123530,LocalBus,https://www.mbta.com/stops/6466,0,,1
A3934,6467,Hyde Park Ave @ Harvard Ave,,42.259889,-71.123037,LocalBus,https://www.mbta.com/stops/6467,0,,1
A3935,6468,Hyde Park Ave @ West St,,42.261691,-71.121992,LocalBus,https://www.mbta.com/stops/6468,0,,1
A3936,6470,Hyde Park Ave @ Westminster St,,42.264155,-71.121242,LocalBus,https://www.mbta.com/stops/6470,0,,1
A3937,6471,Hyde Park Ave @ Thatcher St,,42.266018,-71.120924,LocalBus,https://www.mbta.com/stops/6471,0,,1
A3938,6472,942 Hyde Park Ave,,42.267672,-71.120811,LocalBus,https://www.mbta.com/stops/6472,0,,1
A3939,6473,Hyde Park Ave @ Collins Street,,42.270456,-71.120425,LocalBus,https://www.mbta.com/stops/6473,0,,1
A3940,6474,Hyde Park Ave @ American Legion Hwy,,42.272827,-71.119979,LocalBus,https://www.mbta.com/stops/6474,0,,1
A3941,6476,Hyde Park Ave @ Ramsdell Ave,,42.276992,-71.119388,LocalBus,https://www.mbta.com/stops/6476,0,,1
A3942,6478,Hyde Park Ave @ Cummins Hwy,,42.279969,-71.118822,LocalBus,https://www.mbta.com/stops/6478,0,,1
A3943,6479,512 Hyde Park Ave,,42.282975,-71.118823,LocalBus,https://www.mbta.com/stops/6479,0,,1
A3944,6480,Hyde Park Ave @ Mt Hope St,,42.285066,-71.118763,LocalBus,https://www.mbta.com/stops/6480,0,,1
A3945,6495,Hyde Park Ave opp Walk Hill St,,42.296229,-71.116225,LocalBus,https://www.mbta.com/stops/6495,0,,1
A3946,6496,Hyde Park Ave @ Cummins Hwy,,42.279888,-71.119028,LocalBus,https://www.mbta.com/stops/6496,0,,1
A3947,6498,Hyde Park Ave opp Ramsdell Ave,,42.276855,-71.119700,LocalBus,https://www.mbta.com/stops/6498,0,,1
A53,65,State St @ Washington Mall - State St Sta,,42.358863,-71.057481,ExpressBus-Downtown,https://www.mbta.com/stops/65,0,,1
A3948,6500,Hyde Park Ave opp American Legion Hwy,,42.273226,-71.120218,LocalBus,https://www.mbta.com/stops/6500,0,,1
A3949,6502,Hyde Park Ave @ Willow Ave,,42.267905,-71.121026,LocalBus,https://www.mbta.com/stops/6502,0,,1
