timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
7644,76299,0,20250629,20250831,1,1,1,1,1,0,0,SALISBURY BEACH VIA AMESBURY,Weekday,Outbound,horizontal,,
7645,76299,0,20250629,20250831,0,0,0,0,0,1,0,SALISBURY BEACH VIA AMESBURY,Saturday only,Outbound,horizontal,,
7646,76300,1,20250629,20250831,1,1,1,1,1,0,0,AMESBURY/COSTELLO,Weekday,Inbound,horizontal,,
7647,76300,1,20250629,20250831,0,0,0,0,0,1,0,AMESBURY/COSTELLO,Saturday only,Inbound,horizontal,,
7648,76300,0,20250629,20250831,1,1,1,1,1,0,0,AMESBURY/COSTELLO,Weekday,Outbound,horizontal,,
7649,76300,0,20250629,20250831,0,0,0,0,0,1,0,AMESBURY/COSTELLO,Saturday only,Outbound,horizontal,,
7650,76301,1,20250629,20250831,1,1,1,1,1,0,0,SALISBURY BEACH,Weekday,Inbound,horizontal,,
7651,76301,1,20250629,20250831,0,0,0,0,0,1,0,SALISBURY BEACH,Saturday only,Inbound,horizontal,,
7652,76301,0,20250629,20250831,1,1,1,1,1,0,0,SALISBURY BEACH,Weekday,Outbound,horizontal,,
7653,76301,0,20250629,20250831,0,0,0,0,0,1,0,SALISBURY BEACH,Saturday only,Outbound,horizontal,,
7654,10747,1,20250629,20250831,0,0,0,0,0,0,1,STATELINE PLAZA/PLAISTOW,Sunday only,Inbound,horizontal,,
7655,10747,0,20250629,20250831,0,0,0,0,0,0,1,STATELINE PLAZA/PLAISTOW,Sunday only,Outbound,horizontal,,
