shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.3024190844547,-71.3864607445276,76,21691.99
dbdc228e-b90f-495b-a216-14a6399b1186,42.3123164363096,-71.5319236535981,52,18384.48
9a35cbae-726a-4a2a-a425-277007b9913c,42.2758585081016,-71.4109198099923,1,75.99
58d6daae-0b71-4e38-94f2-d3bdfab96f37,42.2760623559989,-71.4107870406382,1,89.36
606a8096-088f-4cad-8737-f93e5aa49fe7,42.2907099003023,-71.4921585614776,44,10071.65
9a35cbae-726a-4a2a-a425-277007b9913c,42.2772425280358,-71.4101272171812,2,243.02
58d6daae-0b71-4e38-94f2-d3bdfab96f37,42.2213184667419,-71.5362768790887,19,19883.05
ee4a9731-d677-46cf-b6de-4056519c82df,42.311931539293,-71.2629611052848,20,3839.33
ee4a9731-d677-46cf-b6de-4056519c82df,42.3113910741443,-71.2641399362171,19,3725.36
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.302967596231,-71.3972029922726,65,8398.01
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.3019000769794,-71.3803707885963,39,7022.8
ee4a9731-d677-46cf-b6de-4056519c82df,42.3047512653322,-71.3221628261902,68,12611.53
2ae7cb28-5016-4e06-ab62-e6ff783c178a,42.3459285405832,-71.5593908166522,63,22181.26
1f7032ca-1182-45a2-9627-770580c1aca9,42.2994606077349,-71.3758700416011,21,4233.22
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2785635160544,-71.3981524943204,93,27506.13
d3410dfa-b265-484b-bde8-cc505aeb670d,42.2992728530927,-71.3666231254711,7,7010.57
17233672-961e-4210-9582-5acad72e5880,42.2935919340606,-71.4708215874923,16,7718.13
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.3012161136398,-71.3974430499937,64,8202.39
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2692535680088,-71.4064083341604,98,29310.52
334cc08f-6be8-4345-8a47-456b7f0f94b3,42.3543707939607,-71.5537514718623,38,12929.52
